run_id,phase,block_id,sample_id,weight_tensor,weight_layer,weight_block_index,weight_flat_start,weight_raw_rms,weight_normalization,method,mse,sqnr_bits,quantize_seconds,dequantize_seconds,original_vector,dequantized_vector,batch_n,dim,seed
seed0_llm_weight_blocks,pilot,0,0,model.layers.16.mlp.down_proj.weight,16,120175,2884200,0.02808881523338305,block_rms,QTIP bitshift (gpu),0.1793196957366556,1.239697053949529,0.007959570997627452,8.701402111910284e-05,"[-1.182076334953308,-0.3194213807582855,-0.8257151246070862,-0.4085116982460022,1.182076334953308,1.8339567184448242,-0.06410156935453415,1.886107087135315,0.12222756445407867,1.6427384614944458,-0.8865572810173035,0.9126324653625488,-1.0343167781829834,-0.5149855017662048,-0.834406852722168,-0.12385726720094681,-0.625805139541626,-0.4237222373485565,-0.8083316087722778,0.07550947368144989,2.0599420070648193,-0.41068461537361145,0.6779555678367615,-0.9213242530822754]","[-1.0018702745437622,-0.3863752782344818,-1.0863057374954224,-0.6930450797080994,1.8356715440750122,1.122338056564331,0.0931539535522461,1.0863057374954224,0.034277018159627914,0.66835618019104,-0.7964315414428711,0.5849315524101257,-0.9858254790306091,-0.3445020616054535,-0.9391450881958008,-0.1523558795452118,-0.19210973381996155,-0.33413028717041016,-0.8944265246391296,0.0931539535522461,1.0863057374954224,0.004895777907222509,0.527773916721344,-1.159889578819275]",1,24,0
seed0_llm_weight_blocks,pilot,0,0,model.layers.16.mlp.down_proj.weight,16,120175,2884200,0.02808881523338305,block_rms,Uniform scalar 2-bit (gpu),0.1809226858508278,1.233277373006178,9.270399459637702e-05,4.718801937997341e-05,"[-1.182076334953308,-0.3194213807582855,-0.8257151246070862,-0.4085116982460022,1.182076334953308,1.8339567184448242,-0.06410156935453415,1.886107087135315,0.12222756445407867,1.6427384614944458,-0.8865572810173035,0.9126324653625488,-1.0343167781829834,-0.5149855017662048,-0.834406852722168,-0.12385726720094681,-0.625805139541626,-0.4237222373485565,-0.8083316087722778,0.07550947368144989,2.0599420070648193,-0.41068461537361145,0.6779555678367615,-0.9213242530822754]","[-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,-1.0]",1,24,0
seed0_llm_weight_blocks,pilot,0,0,model.layers.16.mlp.down_proj.weight,16,120175,2884200,0.02808881523338305,block_rms,Leech Lattice Vector Quantization (gpu),0.05345069766015489,2.1128236903334674,0.0014337330067064613,0.0005035860231146216,"[-1.182076334953308,-0.3194213807582855,-0.8257151246070862,-0.4085116982460022,1.182076334953308,1.8339567184448242,-0.06410156935453415,1.886107087135315,0.12222756445407867,1.6427384614944458,-0.8865572810173035,0.9126324653625488,-1.0343167781829834,-0.5149855017662048,-0.834406852722168,-0.12385726720094681,-0.625805139541626,-0.4237222373485565,-0.8083316087722778,0.07550947368144989,2.0599420070648193,-0.41068461537361145,0.6779555678367615,-0.9213242530822754]","[-1.0606601238250732,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,1.0606601238250732,1.7677669525146484,0.3535533845424652,1.7677669525146484,0.3535533845424652,1.7677669525146484,-1.0606601238250732,1.0606601238250732,-1.0606601238250732,-0.3535533845424652,-1.0606601238250732,-0.3535533845424652,-0.3535533845424652,-0.3535533845424652,-1.0606601238250732,-0.3535533845424652,1.7677669525146484,-0.3535533845424652,1.0606601238250732,-1.0606601238250732]",1,24,0
seed0_llm_weight_blocks,pilot,1,1,model.layers.23.mlp.down_proj.weight,23,35335,848040,0.015526411152969419,block_rms,Uniform scalar 2-bit (gpu),0.1049800499518182,1.6259064553334903,0.00016297600814141333,4.510500002652407e-05,"[1.753250002861023,-2.4058048725128174,0.13955241441726685,-0.1159660816192627,-0.8255212903022766,1.5016624927520752,-0.2889324426651001,-0.9709702730178833,-1.2343509197235107,0.8687628507614136,-0.8962802290916443,1.3129719495773315,0.440278023481369,-0.7233138680458069,0.277139276266098,-0.7508312463760376,0.21325966715812683,-1.2815234661102295,0.6446928381919861,-1.2657992839813232,0.5306922793388367,-0.6211065053939819,0.2201390117406845,0.746900200843811]","[1.0,-2.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0]",1,24,0
seed0_llm_weight_blocks,pilot,1,1,model.layers.23.mlp.down_proj.weight,23,35335,848040,0.015526411152969419,block_rms,QTIP bitshift (gpu),0.1699452604302996,1.27842898619504,0.008078163984464481,8.796501788310707e-05,"[1.753250002861023,-2.4058048725128174,0.13955241441726685,-0.1159660816192627,-0.8255212903022766,1.5016624927520752,-0.2889324426651001,-0.9709702730178833,-1.2343509197235107,0.8687628507614136,-0.8962802290916443,1.3129719495773315,0.440278023481369,-0.7233138680458069,0.277139276266098,-0.7508312463760376,0.21325966715812683,-1.2815234661102295,0.6446928381919861,-1.2657992839813232,0.5306922793388367,-0.6211065053939819,0.2201390117406845,0.746900200843811]","[0.32379430532455444,-1.9533236026763916,-0.18214523792266846,-0.2929880917072296,-0.756718099117279,0.8514286875724792,-0.3863752782344818,-1.104142665863037,-0.7830567955970764,0.7181638479232788,-0.7055488228797913,1.5184290409088135,0.66835618019104,-0.7830567955970764,0.6440681219100952,-0.8236187100410461,0.3653585910797119,-1.6563239097595215,0.66835618019104,-0.7964315414428711,0.632066011428833,-0.879913330078125,0.1029927134513855,1.2617708444595337]",1,24,0
seed0_llm_weight_blocks,pilot,1,1,model.layers.23.mlp.down_proj.weight,23,35335,848040,0.015526411152969419,block_rms,Leech Lattice Vector Quantization (gpu),0.047798685168793535,2.1934426305658663,0.001022721000481397,0.000148488994454965,"[1.753250002861023,-2.4058048725128174,0.13955241441726685,-0.1159660816192627,-0.8255212903022766,1.5016624927520752,-0.2889324426651001,-0.9709702730178833,-1.2343509197235107,0.8687628507614136,-0.8962802290916443,1.3129719495773315,0.440278023481369,-0.7233138680458069,0.277139276266098,-0.7508312463760376,0.21325966715812683,-1.2815234661102295,0.6446928381919861,-1.2657992839813232,0.5306922793388367,-0.6211065053939819,0.2201390117406845,0.746900200843811]","[1.4142135381698608,-2.1213202476501465,0.0,0.0,-0.7071067690849304,1.4142135381698608,0.0,-0.7071067690849304,-1.4142135381698608,0.7071067690849304,-0.7071067690849304,1.4142135381698608,0.0,-0.7071067690849304,0.0,-0.7071067690849304,0.0,-1.4142135381698608,0.7071067690849304,-1.4142135381698608,0.7071067690849304,-0.7071067690849304,0.7071067690849304,0.7071067690849304]",1,24,0
seed0_llm_weight_blocks,pilot,2,2,model.layers.7.mlp.down_proj.weight,7,119270,2862480,0.021930865994169102,block_rms,QTIP bitshift (gpu),0.1398577812245242,1.4189837705525241,0.00808253200375475,8.658299339003861e-05,"[1.0408685207366943,-0.6067094802856445,0.03652780503034592,-0.49538663029670715,0.077578105032444,-0.9796409606933594,-0.5343496203422546,0.0681852400302887,-1.9592819213867188,0.0681852400302887,-0.40632835030555725,1.118794560432434,0.6902015805244446,-0.43972522020339966,1.8702236413955688,1.4249323606491089,1.658710241317749,0.542698860168457,-1.536255121231079,-0.3840637803077698,-1.241249680519104,0.8460536003112793,-1.2635141611099243,0.4258098602294922]","[0.9858254790306091,-0.14245736598968506,-0.1523558795452118,-0.2120971381664276,-0.3863752782344818,-1.122338056564331,-0.8374426960945129,0.3032245337963104,-1.9533236026763916,-0.28278225660324097,-0.7055488228797913,1.5184290409088135,0.7181638479232788,-0.6806488037109375,2.8856348991394043,1.9533236026763916,1.2617708444595337,0.3032245337963104,-1.9533236026763916,-0.3134928345680237,-0.7964315414428711,0.632066011428833,-0.8944265246391296,0.07350250333547592]",1,24,0
seed0_llm_weight_blocks,pilot,2,2,model.layers.7.mlp.down_proj.weight,7,119270,2862480,0.021930865994169102,block_rms,Leech Lattice Vector Quantization (gpu),0.060582243518759606,2.02248057646611,0.001643026014789939,0.00014774699229747057,"[1.0408685207366943,-0.6067094802856445,0.03652780503034592,-0.49538663029670715,0.077578105032444,-0.9796409606933594,-0.5343496203422546,0.0681852400302887,-1.9592819213867188,0.0681852400302887,-0.40632835030555725,1.118794560432434,0.6902015805244446,-0.43972522020339966,1.8702236413955688,1.4249323606491089,1.658710241317749,0.542698860168457,-1.536255121231079,-0.3840637803077698,-1.241249680519104,0.8460536003112793,-1.2635141611099243,0.4258098602294922]","[0.7071067690849304,-0.7071067690849304,0.0,-0.7071067690849304,0.0,-0.7071067690849304,-0.7071067690849304,0.0,-1.4142135381698608,0.0,0.0,0.7071067690849304,0.7071067690849304,-0.7071067690849304,2.1213202476501465,1.4142135381698608,1.4142135381698608,0.7071067690849304,-1.4142135381698608,0.0,-1.4142135381698608,0.7071067690849304,-1.4142135381698608,0.7071067690849304]",1,24,0
seed0_llm_weight_blocks,pilot,2,2,model.layers.7.mlp.down_proj.weight,7,119270,2862480,0.021930865994169102,block_rms,Uniform scalar 2-bit (gpu),0.14091486573469883,1.4135521239770779,7.825702778063715e-05,4.4513988541439176e-05,"[1.0408685207366943,-0.6067094802856445,0.03652780503034592,-0.49538663029670715,0.077578105032444,-0.9796409606933594,-0.5343496203422546,0.0681852400302887,-1.9592819213867188,0.0681852400302887,-0.40632835030555725,1.118794560432434,0.6902015805244446,-0.43972522020339966,1.8702236413955688,1.4249323606491089,1.658710241317749,0.542698860168457,-1.536255121231079,-0.3840637803077698,-1.241249680519104,0.8460536003112793,-1.2635141611099243,0.4258098602294922]","[1.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-2.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,-2.0,0.0,-1.0,1.0,-1.0,0.0]",1,24,0
seed0_llm_weight_blocks,pilot,3,3,model.layers.20.mlp.down_proj.weight,20,50179,1204296,0.02348667610326045,block_rms,Uniform scalar 2-bit (gpu),0.2585095118445468,0.9758553970550619,7.469000411219895e-05,4.3751992052420974e-05,"[0.6860605478286743,-0.4521762728691101,0.14292927086353302,0.49895310401916504,0.5639209747314453,-0.6496785283088684,0.6158952713012695,-0.8471807837486267,0.2598714232444763,-0.8991550803184509,1.5384387969970703,-2.3492376804351807,0.43398526310920715,-0.13253441452980042,0.3664186894893646,-0.2572726905345917,0.0698404461145401,0.6756656765937805,1.7463358640670776,2.7650318145751953,0.48855826258659363,0.34822770953178406,0.16371898353099823,0.7120476961135864]","[1.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0]",1,24,0
